reason,language,genre,name_in_drive,size,source_id,title
ambiguous,sinhala,drama,097ff6f498787311_000.wav,0,90e6d3aa-f6d7-4b21-b430-87f6b1c8991b,නිළි මව් සොමිය! 😅 #kolambakattiya #shorts
ambiguous,sinhala,drama,097ff6f498787311_001.wav,0,90e6d3aa-f6d7-4b21-b430-87f6b1c8991b,නිළි මව් සොමිය! 😅 #kolambakattiya #shorts
ambiguous,sinhala,drama,10ce6340de7ec83f_001.wav,0,28b84aae-dd3b-4817-84cd-6682a934ad4e,අද පාඩම ගඟේ ගියා 🥲 | Aluth Sir | Drama Shorts
ambiguous,sinhala,drama,2e313b55d2180ba0_001.wav,0,e2f17c37-daa0-490f-b2d3-44569003dae7,පිට ගිය කෙල්ලො මට එපා 🙄 | Amuthu Kalliya | Drama Shorts
ambiguous,sinhala,drama,2e313b55d2180ba0_003.wav,0,e2f17c37-daa0-490f-b2d3-44569003dae7,පිට ගිය කෙල්ලො මට එපා 🙄 | Amuthu Kalliya | Drama Shorts
ambiguous,sinhala,drama,41370379ee3bdbe1_002.wav,0,7ef56dc9-e156-4ae4-b8a2-17b3e74421d3,නාස්තිකාර පුත්තු 😏 #tvderana #deranalk #husmaklangin #derananewdrama
ambiguous,sinhala,drama,41370379ee3bdbe1_003.wav,0,7ef56dc9-e156-4ae4-b8a2-17b3e74421d3,නාස්තිකාර පුත්තු 😏 #tvderana #deranalk #husmaklangin #derananewdrama
ambiguous,sinhala,drama,41370379ee3bdbe1_004.wav,0,7ef56dc9-e156-4ae4-b8a2-17b3e74421d3,නාස්තිකාර පුත්තු 😏 #tvderana #deranalk #husmaklangin #derananewdrama
ambiguous,sinhala,drama,5243057ec7294ed7_000.wav,0,40708a8e-b52b-4360-9a6c-eccc3ee2cf75,අස්සයො පදින හනිමුන් එක 😏| Bolt Anayak | Drama Shorts
ambiguous,sinhala,drama,a192a069465de95c_002.wav,0,85c9d808-b0c3-471d-aa47-f85818564f6f,කෑම විතරද බෙදාගෙන කන්නේ 😁 #deranalk #tvderana #manadarei
ambiguous,sinhala,drama,41370379ee3bdbe1_000.wav,0,cbf362d2-d4af-4491-a668-7fb4a24d1b3f,ඒ ළමය කරපු වැරැද්ද මොකක්ද? 😏 #tvderana #deranalk #husmaklangin #derananewdrama
ambiguous,sinhala,drama,41370379ee3bdbe1_005.wav,0,795dde13-be40-45a6-814e-3201f682fdfb,තාත්තට සුදුසු තැන ලැබෙන්නයි යන්නෙ 😍❤️ #tvderana #deranalk #husmaklangin #derananewdrama
ambiguous,sinhala,drama,097ff6f498787311_003.wav,0,0f441196-35c0-45bb-bad4-c822ee1c811e,මළපන්නගන්න එපා නංගි 🤣#kolambakattiya #shorts
ambiguous,sinhala,drama,097ff6f498787311_002.wav,0,0f441196-35c0-45bb-bad4-c822ee1c811e,මළපන්නගන්න එපා නංගි 🤣#kolambakattiya #shorts
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_010.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_012.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_016.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_013.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_017.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_019.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_023.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_020.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_021.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
ambiguous,sinhala,podcast_or_discussion,e94b872620c114a9_026.wav,0,a1f2858e-e67b-4d1f-a938-24de5b5f1c87,දවස ගානේ ඔබේ ව්‍යාපාරයට එන හැම ප්‍රශ්නෙකටම උත්තර හොයන හැටි | CEO Mastery | Simplebooks
